1-2 toe syndactyly	HP:0010711
Adrenal overactivity	HP:0002717
Adrenal pheochromocytoma	HP:0006748
Adrenocortical abnormality	HP:0000849
Adrenocortical adenoma	HP:0008256
Adrenocortical carcinoma	HP:0006744
Adrenocortical cytomegaly	HP:0008186
Adrenocortical hypoplasia	HP:0008182
Adrenocorticotropic hormone deficiency	HP:0011748
Adrenocorticotropic hormone excess	HP:0011749
Adrenocorticotropin deficient adrenal insufficiency	HP:0011735
Adrenocorticotropin receptor defect	HP:0008259
Adrenogenital syndrome	HP:0000840
Adult onset	HP:0003581
Adult onset sensorineural hearing impairment	HP:0008615
Adult-onset night blindness	HP:0007830
Advanced eruption of teeth	HP:0006288
Advanced ossification of carpal bones	HP:0004233
Advanced pneumatization of the mastoid process	HP:0010724
Advanced tarsal ossification	HP:0008108
Agalactia	HP:0031109
Agammaglobulinemia	HP:0004432
Aganglionic megacolon	HP:0002251
Age of death	HP:0011420
Age-dependent penetrance	HP:0003831
Aged leonine appearance	HP:0008509
Agenesis of canine	HP:0012738
Agenesis of central incisor	HP:0006289
Agenesis of cerebellar vermis	HP:0002335
Agenesis of corpus callosum	HP:0001274
Agenesis of first permanent molar tooth	HP:0011056
Agenesis of incisor	HP:0006485
Agenesis of lateral incisor	HP:0200153
Agenesis of mandibular central incisor	HP:0006355
Agenesis of mandibular incisor	HP:0200161
Agenesis of mandibular premolar	HP:0011053
Agenesis of maxillary incisor	HP:0200160
Agenesis of maxillary lateral incisor	HP:0000690
Agenesis of molar	HP:0011054
Agenesis of permanent molar	HP:0011055
Agenesis of permanent teeth	HP:0006349
Agenesis of pineal gland	HP:0012687
Agenesis of premolar	HP:0011051
Agenesis of pulmonary vessels	HP:0005311
Agenesis of the anterior commissure	HP:0030302
Agenesis of the diaphragm	HP:0008986
Aggravated by	HP:0025285
Aggressive behavior	HP:0000718
Agitation	HP:0000713
Aglossia	HP:0012730
Agnosia	HP:0010524
Agonadism	HP:0008633
Agoraphobia	HP:0000756
Agranulocytosis	HP:0012234
Agraphesthesia	HP:0011812
Agyria	HP:0031882
Air bronchogram	HP:0033662
Airway obstruction	HP:0006536
Akinesia	HP:0002304
Akinetic mutism	HP:0012672
Alacrima	HP:0000522
Albinism	HP:0001022
Albuminuria	HP:0012592
Alcoholism	HP:0030955
Aldehyde oxidase deficiency	HP:0002932
Alexia	HP:0010523
Alien limb phenomenon	HP:0032506
Alkalosis	HP:0001948
Allergic rhinitis	HP:0003193
Allergy	HP:0012393
Almond-shaped palpebral fissure	HP:0007874
Alobar holoprosencephaly	HP:0006988
Alopecia	HP:0001596
Alopecia of scalp	HP:0002293
Alopecia totalis	HP:0007418
Alopecia universalis	HP:0002289
Alpha-aminoadipic aciduria	HP:0410309
Alternating esotropia	HP:0001137
Alternating exotropia	HP:0031717
Alveolar bone loss around teeth	HP:0410027
Alveolar capillary dysplasia	HP:0033208
Alveolar cell carcinoma	HP:0006519
Alveolar rhabdomyosarcoma	HP:0006779
Alveolar ridge overgrowth	HP:0009085
Alveolar soft part sarcoma	HP:0012218
Alzheimer disease	HP:0002511
Amaurosis fugax	HP:0100576
Ambiguous genitalia	HP:0000062
Ambiguous genitalia, female	HP:0000061
Ambiguous genitalia, male	HP:0000033
Amblyopia	HP:0000646
Amegakaryocytic thrombocytopenia	HP:0004859
Amelia	HP:0009827
Amelia involving the lower limbs	HP:0009818
Amelogenesis imperfecta	HP:0000705
Amenorrhea	HP:0000141
Aminoaciduria	HP:0003355
Aminoglycoside-induced hearing loss	HP:0011975
Amniotic constriction ring	HP:0009775
Ampulla of Vater carcinoma	HP:0031524
Amyloid deposition in the vitreous humor	HP:0007841
Amyloidosis	HP:0011034
Amyloidosis of peripheral nerves	HP:0100292
Amyoplasia	HP:0003634
Amyotrophic lateral sclerosis	HP:0007354
Amyotrophy involving the shoulder musculature	HP:0001465
Amyotrophy of ankle musculature	HP:0009031
Anal atresia	HP:0002023
Anal canal neoplasm	HP:0030437
Anal canal squamous carcinoma	HP:0006763
Anal fissure	HP:0012390
Anal fistula	HP:0010447
Anal margin neoplasm	HP:0030440
Anal margin squamous cell carcinoma	HP:0030442
Anal mucosal leukoplakia	HP:0005212
Anal pain	HP:0500005
Anal stenosis	HP:0002025
Anaphylactic shock	HP:0100845
Anarthria	HP:0002425
Anasarca	HP:0012050
Androgen insufficiency	HP:0008226
Anemia	HP:0001903
Anemia due to reduced life span of red cells	HP:0011895
Anemia of inadequate production	HP:0010972
Anemic pallor	HP:0001017
Anencephaly	HP:0002323
Aneurysmal bone cyst	HP:0012063
Angina pectoris	HP:0001681
Angioedema	HP:0100665
Angiofibromas	HP:0010615
Angioid streaks of the fundus	HP:0001102
Angiokeratoma	HP:0001014
Angiokeratoma corporis diffusum	HP:0001071
Angiosarcoma	HP:0200058
Angle closure glaucoma	HP:0012109
Angular cheilitis	HP:0030318
Angulated antihelix	HP:0011236
Angulated muscle fibers	HP:0034045
Anhidrosis	HP:0000970
Anhidrotic ectodermal dysplasia	HP:0007476
Aniridia	HP:0000526
Anisocoria	HP:0009916
Anisocytosis	HP:0011273
Anisometropia	HP:0012803
Anisopoikilocytosis	HP:0004823
Anisospondyly	HP:0002879
Ankle clonus	HP:0011448
Ankle flexion contracture	HP:0006466
Ankle pain	HP:0030840
Ankle swelling	HP:0001785
Ankle weakness	HP:0031374
Ankyloblepharon	HP:0009755
Ankyloglossia	HP:0010296
Ankylosis	HP:0031013
Ankylosis of feet small joints	HP:0008090
Annular cutaneous lesion	HP:0025528
Annular pancreas	HP:0001734
Anodontia	HP:0000674
Anomalous origin of coronary artery from the pulmonary artery	HP:0011637
Anomalous origin of left coronary artery from the pulmonary artery	HP:0011638
Anomalous origin of one pulmonary artery from ascending aorta	HP:0011660
Anomalous origin of the left common carotid artery from the brachiocephalic artery	HP:0031635
Anomalous pulmonary venous return	HP:0010772
Anomalous rib insertion to vertebrae	HP:0006593
Anomalous splenoportal venous system	HP:0005201
Anomalous tracheal cartilage	HP:0004468
Anomalous trichromacy	HP:0011519
Anomaly of lower limb diaphyses	HP:0012699
Anomaly of the upper limb diaphyses	HP:0009808
Anomic aphasia	HP:0030784
Anonychia	HP:0001798
Anoperineal fistula	HP:0005218
Anophthalmia	HP:0000528
Anorectal anomaly	HP:0012732
Anorexia	HP:0002039
Anorgasmia	HP:0046502
Anosmia	HP:0000458
Anotia	HP:0009892
Antalgic gait	HP:0031955
Antecubital pterygium	HP:0009760
Antegonial notching of mandible	HP:0003779
Antenatal intracerebral hemorrhage	HP:0007023
Antenatal onset	HP:0030674
Antepartum hemorrhage	HP:0025328
Anterior atlanto-occipital dislocation	HP:0005678
Anterior basal encephalocele	HP:0006992
Anterior beaking of lower thoracic vertebrae	HP:0004607
Anterior beaking of lumbar vertebrae	HP:0008430
Anterior beaking of thoracic vertebrae	HP:0004630
Anterior bowing of long bones	HP:0006473
Anterior cerebral artery stenosis	HP:0012494
Anterior chamber synechiae	HP:0007833
Anterior clefting of vertebral bodies	HP:0009761
Anterior concavity of thoracic vertebrae	HP:0004611
Anterior cortical cataract	HP:0007795
Anterior creases of earlobe	HP:0009908
Anterior encephalocele	HP:0007035
Anterior hypopituitarism	HP:0000830
Anterior lenticonus	HP:0011501
Anterior open-bite malocclusion	HP:0009102
Anterior pituitary agenesis	HP:0010626
Anterior pituitary dysgenesis	HP:0010625
Anterior pituitary hypoplasia	HP:0010627
Anterior plagiocephaly	HP:0011326
Anterior polar cataract	HP:0001134
Anterior predominant thick cortex pachygyria	HP:0020191
Anterior radial head dislocation	HP:0005084
Anterior rib cupping	HP:0000907
Anterior rib punctate calcifications	HP:0006619
Anterior rounding of vertebral bodies	HP:0008488
Anterior sacral meningocele	HP:0007293
Anterior segment of eye aplasia	HP:0007779
Anterior subcapsular cataract	HP:0010923
Anterior synechiae of the anterior chamber	HP:0011483
Anterior tibial bowing	HP:0006390
Anterior uveitis	HP:0012122
Anterior vertebral fusion	HP:0004557
Anterior wedging of L1	HP:0008432
Anterior wedging of L2	HP:0011941
Anterior wedging of T11	HP:0004573
Anterior wedging of T12	HP:0011940
Anteriorly displaced genitalia	HP:0003252
Anteriorly placed anus	HP:0001545
Anteriorly placed odontoid process	HP:0004608
Anterolateral radial head dislocation	HP:0005050
Anteverted ears	HP:0040080
Anteverted nares	HP:0000463
Anti-U1 ribonucleoprotein antibody positivity	HP:0033028
Anti-citrullinated protein antibody positivity	HP:0033034
Anti-dsDNA antibody positivity	HP:0020151
Anti-glutamic acid decarboxylase antibody positivity	HP:0025329
Anti-liver cytosolic antigen type 1 antibody positivity	HP:0030909
Anti-thyroglobulin antibody positivity	HP:0032069
Anti-thyroid peroxidase antibody positivity	HP:0025379
Anticardiolipin IgG antibody positivity	HP:0020136
Antimitochondrial antibody positivity	HP:0030167
Antineutrophil antibody positivity	HP:0003453
Antinuclear antibody positivity	HP:0003493
Antiphospholipid antibody positivity	HP:0003613
Anuria	HP:0100519
Anxiety	HP:0000739
Aortic aneurysm	HP:0004942
Aortic arch aneurysm	HP:0005113
Aortic arch calcification	HP:0005303
Aortic atherosclerotic lesion	HP:0012397
Aortic dissection	HP:0002647
Aortic regurgitation	HP:0001659
Aortic root aneurysm	HP:0002616
Aortic rupture	HP:0031649
Aortic tortuosity	HP:0006687
Aortic valve atresia	HP:0010883
Aortic valve calcification	HP:0004380
Aortic valve stenosis	HP:0001650
Aortopulmonary collateral arteries	HP:0031834
Apathy	HP:0000741
Aphalangy of the hands	HP:0005886
Aphasia	HP:0002381
Aphthous ulcer	HP:0032154
Apical hypertrophic cardiomyopathy	HP:0031992
Aplasia cutis congenita	HP:0001057
Aplasia cutis congenita of scalp	HP:0007385
Aplasia cutis congenita on trunk or limbs	HP:0007589
Aplasia cutis congenita over parietal area	HP:0004476
Aplasia cutis congenita over posterior parietal area	HP:0007590
Aplasia cutis congenita over the scalp vertex	HP:0004471
Aplasia involving bones of the extremities	HP:0009825
Aplasia involving bones of the lower limbs	HP:0009817
Aplasia involving bones of the upper limbs	HP:0009823
Aplasia involving forearm bones	HP:0009822
Aplasia of facial bones	HP:0040008
Aplasia of metacarpal bones	HP:0010048
Aplasia of the 1st metacarpal	HP:0010035
Aplasia of the 2nd finger	HP:0009535
Aplasia of the 2nd metacarpal	HP:0010037
Aplasia of the 3rd finger	HP:0009460
Aplasia of the 3rd metacarpal	HP:0010040
Aplasia of the 4th finger	HP:0009281
Aplasia of the 4th metacarpal	HP:0010043
Aplasia of the 5th finger	HP:0009238
Aplasia of the 5th metacarpal	HP:0010046
Aplasia of the abdominal wall musculature	HP:0005199
Aplasia of the bladder	HP:0010477
Aplasia of the distal phalanges of the hand	HP:0009881
Aplasia of the distal phalanges of the toes	HP:0010645
Aplasia of the distal phalanx of the 2nd finger	HP:0009565
Aplasia of the distal phalanx of the 5th toe	HP:0100380
Aplasia of the distal phalanx of the hallux	HP:0010102
Aplasia of the eccrine sweat glands	HP:0040042
Aplasia of the epiglottis	HP:0008753
Aplasia of the falx cerebri	HP:0010654
Aplasia of the fingers	HP:0009380
Aplasia of the inferior half of the cerebellar vermis	HP:0007063
Aplasia of the inner ear	HP:0011372
Aplasia of the left hemidiaphragm	HP:0009112
Aplasia of the maxilla	HP:0010667
Aplasia of the middle phalanges of the toes	HP:0100387
Aplasia of the middle phalanx of the hand	HP:0010239
Aplasia of the musculature	HP:0100854
Aplasia of the nasal bone	HP:0010941
Aplasia of the nose	HP:0009927
Aplasia of the olfactory bulb	HP:0032466
Aplasia of the optic tract	HP:0010999
Aplasia of the ovary	HP:0010463
Aplasia of the parotid gland	HP:0009740
Aplasia of the pectoralis major muscle	HP:0009751
Aplasia of the phalanges of the 2nd toe	HP:0010430
Aplasia of the phalanges of the 3rd toe	HP:0100362
Aplasia of the phalanges of the 5th toe	HP:0100364
Aplasia of the phalanges of the hallux	HP:0010110
Aplasia of the phalanges of the hand	HP:0009802
Aplasia of the phalanges of the toes	HP:0010745
Aplasia of the proximal phalanges of the hand	HP:0010242
Aplasia of the right hemidiaphragm	HP:0032592
Aplasia of the semicircular canal	HP:0011381
Aplasia of the sweat glands	HP:0011136
Aplasia of the tarsal bones	HP:0010509
Aplasia of the thymus	HP:0005359
Aplasia of the ulna	HP:0003982
Aplasia of the uterus	HP:0000151
Aplasia of the vagina	HP:0003250
Aplasia/Hypoplasia affecting the anterior segment of the eye	HP:0008062
Aplasia/Hypoplasia affecting the eye	HP:0008056
Aplasia/Hypoplasia affecting the fundus	HP:0008057
Aplasia/Hypoplasia affecting the uvea	HP:0008055
Aplasia/Hypoplasia involving bones of the feet	HP:0006494
Aplasia/Hypoplasia involving bones of the skull	HP:0009116
Aplasia/Hypoplasia involving bones of the thorax	HP:0006711
Aplasia/Hypoplasia involving the carpal bones	HP:0006502
Aplasia/Hypoplasia involving the central nervous system	HP:0002977
Aplasia/Hypoplasia involving the corticospinal tracts	HP:0007365
Aplasia/Hypoplasia involving the femoral head and neck	HP:0009108
Aplasia/Hypoplasia involving the metacarpal bones	HP:0005914
Aplasia/Hypoplasia involving the musculature of the extremities	HP:0009128
Aplasia/Hypoplasia involving the musculature of the upper arm	HP:0001468
Aplasia/Hypoplasia involving the musculature of the upper limbs	HP:0001467
Aplasia/Hypoplasia involving the nose	HP:0009924
Aplasia/Hypoplasia involving the pelvis	HP:0009103
Aplasia/Hypoplasia involving the shoulder musculature	HP:0001464
Aplasia/Hypoplasia involving the sinuses	HP:0009120
Aplasia/Hypoplasia involving the skeletal musculature	HP:0001460
Aplasia/Hypoplasia involving the vertebral column	HP:0008518
Aplasia/Hypoplasia of facial bones	HP:0034261
Aplasia/Hypoplasia of fingers	HP:0006265
Aplasia/Hypoplasia of metatarsal bones	HP:0001964
Aplasia/Hypoplasia of the 1st metacarpal	HP:0010026
Aplasia/Hypoplasia of the 2nd finger	HP:0006264
Aplasia/Hypoplasia of the 2nd metacarpal	HP:0010036
Aplasia/Hypoplasia of the 2nd toe	HP:0010325
Aplasia/Hypoplasia of the 3rd finger	HP:0009318
Aplasia/Hypoplasia of the 3rd metacarpal	HP:0010039
Aplasia/Hypoplasia of the 3rd toe	HP:0010331
Aplasia/Hypoplasia of the 4th finger	HP:0009272
Aplasia/Hypoplasia of the 4th metacarpal	HP:0010042
Aplasia/Hypoplasia of the 5th finger	HP:0006262
Aplasia/Hypoplasia of the 5th metacarpal	HP:0010045
Aplasia/Hypoplasia of the 5th toe	HP:0010343
Aplasia/Hypoplasia of the Epiglottis	HP:0010565
Aplasia/Hypoplasia of the abdominal wall musculature	HP:0010318
Aplasia/Hypoplasia of the biceps	HP:0009782
Aplasia/Hypoplasia of the bladder	HP:0010476
Aplasia/Hypoplasia of the brainstem	HP:0007362
Aplasia/Hypoplasia of the breasts	HP:0010311
Aplasia/Hypoplasia of the capital femoral epiphysis	HP:0005003
Aplasia/Hypoplasia of the cerebellar vermis	HP:0006817
Aplasia/Hypoplasia of the cerebellum	HP:0007360
Aplasia/Hypoplasia of the cerebral white matter	HP:0012429
Aplasia/Hypoplasia of the cerebrum	HP:0007364
Aplasia/Hypoplasia of the cervical spine	HP:0011041
Aplasia/Hypoplasia of the clavicles	HP:0006710
Aplasia/Hypoplasia of the clitoris	HP:0040255
Aplasia/Hypoplasia of the cochlea	HP:0011395
Aplasia/Hypoplasia of the colon	HP:0100811
Aplasia/Hypoplasia of the corpus callosum	HP:0007370
Aplasia/Hypoplasia of the diaphragm	HP:0010315
Aplasia/Hypoplasia of the distal phalanges of the hand	HP:0009835
Aplasia/Hypoplasia of the distal phalanges of the toes	HP:0010185
Aplasia/Hypoplasia of the distal phalanx of the 2nd finger	HP:0009557
Aplasia/Hypoplasia of the distal phalanx of the 2nd toe	HP:0010413
Aplasia/Hypoplasia of the distal phalanx of the 3rd finger	HP:0009421
Aplasia/Hypoplasia of the distal phalanx of the 4th finger	HP:0009289
Aplasia/Hypoplasia of the distal phalanx of the 5th finger	HP:0009239
Aplasia/Hypoplasia of the distal phalanx of the 5th toe	HP:0100371
Aplasia/Hypoplasia of the distal phalanx of the hallux	HP:0010076
Aplasia/Hypoplasia of the distal phalanx of the thumb	HP:0009641
Aplasia/Hypoplasia of the ear	HP:0008771
Aplasia/Hypoplasia of the earlobes	HP:0009906
Aplasia/Hypoplasia of the external ear	HP:0008772
Aplasia/Hypoplasia of the eyebrow	HP:0100840
Aplasia/Hypoplasia of the eyelid	HP:0011226
Aplasia/Hypoplasia of the fallopian tube	HP:0008655
Aplasia/Hypoplasia of the fibula	HP:0006492
Aplasia/Hypoplasia of the fovea	HP:0008060
Aplasia/Hypoplasia of the frontal sinuses	HP:0009119
Aplasia/Hypoplasia of the gallbladder	HP:0011466
Aplasia/Hypoplasia of the hallux	HP:0008362
Aplasia/Hypoplasia of the inner ear	HP:0008774
Aplasia/Hypoplasia of the iris	HP:0008053
Aplasia/Hypoplasia of the lens	HP:0008063
Aplasia/Hypoplasia of the lungs	HP:0006703
Aplasia/Hypoplasia of the macula	HP:0008059
Aplasia/Hypoplasia of the mandible	HP:0009118
Aplasia/Hypoplasia of the middle phalanges of the hand	HP:0009843
Aplasia/Hypoplasia of the middle phalanges of the toes	HP:0010194
Aplasia/Hypoplasia of the middle phalanx of the 2nd finger	HP:0009568
Aplasia/Hypoplasia of the middle phalanx of the 3rd finger	HP:0009437
Aplasia/Hypoplasia of the middle phalanx of the 4th finger	HP:0009299
Aplasia/Hypoplasia of the middle phalanx of the 5th finger	HP:0009161
Aplasia/Hypoplasia of the middle phalanx of the 5th toe	HP:0100374
Aplasia/Hypoplasia of the musculature of the pelvis	HP:0001471
Aplasia/Hypoplasia of the musculature of the thigh	HP:0009786
Aplasia/Hypoplasia of the nails	HP:0008386
Aplasia/Hypoplasia of the nasal bone	HP:0010940
Aplasia/Hypoplasia of the nasal septum	HP:0009935
Aplasia/Hypoplasia of the nipples	HP:0006709
Aplasia/Hypoplasia of the optic nerve	HP:0008058
Aplasia/Hypoplasia of the optic tract	HP:0011000
Aplasia/Hypoplasia of the ovary	HP:0010462
Aplasia/Hypoplasia of the palmar creases	HP:0010488
Aplasia/Hypoplasia of the pancreas	HP:0100800
Aplasia/Hypoplasia of the patella	HP:0006498
Aplasia/Hypoplasia of the phalanges of the 2nd finger	HP:0009552
Aplasia/Hypoplasia of the phalanges of the 2nd toe	HP:0010347
Aplasia/Hypoplasia of the phalanges of the 3rd finger	HP:0009447
Aplasia/Hypoplasia of the phalanges of the 3rd toe	HP:0010359
Aplasia/Hypoplasia of the phalanges of the 4th finger	HP:0009408
Aplasia/Hypoplasia of the phalanges of the 5th finger	HP:0009376
Aplasia/Hypoplasia of the phalanges of the 5th toe	HP:0010383
Aplasia/Hypoplasia of the phalanges of the hallux	HP:0010058
Aplasia/Hypoplasia of the phalanges of the hand	HP:0009767
Aplasia/Hypoplasia of the phalanges of the thumb	HP:0009658
Aplasia/Hypoplasia of the phalanges of the toes	HP:0010173
Aplasia/Hypoplasia of the premaxilla	HP:0010756
Aplasia/Hypoplasia of the proximal phalanges of the hand	HP:0009851
Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger	HP:0009580
Aplasia/Hypoplasia of the proximal phalanx of the 5th finger	HP:0009192
Aplasia/Hypoplasia of the proximal phalanx of the hallux	HP:0010085
Aplasia/Hypoplasia of the proximal phalanx of the thumb	HP:0009629
Aplasia/Hypoplasia of the pubic bone	HP:0009104
Aplasia/Hypoplasia of the pyramidal tract	HP:0007363
Aplasia/Hypoplasia of the quadriceps	HP:0009787
Aplasia/Hypoplasia of the radius	HP:0006501
Aplasia/Hypoplasia of the retina	HP:0008061
Aplasia/Hypoplasia of the ribs	HP:0006712
Aplasia/Hypoplasia of the sacrum	HP:0008517
Aplasia/Hypoplasia of the scapulae	HP:0006713
Aplasia/Hypoplasia of the skin	HP:0008065
Aplasia/Hypoplasia of the spleen	HP:0010451
Aplasia/Hypoplasia of the sternum	HP:0006714
Aplasia/Hypoplasia of the sweat glands	HP:0011135
Aplasia/Hypoplasia of the tarsal bones	HP:0008363
Aplasia/Hypoplasia of the testes	HP:0010468
Aplasia/Hypoplasia of the thumb	HP:0009601
Aplasia/Hypoplasia of the thymus	HP:0010515
Aplasia/Hypoplasia of the thyroid gland	HP:0033079
Aplasia/Hypoplasia of the tibia	HP:0005772
Aplasia/Hypoplasia of the tongue	HP:0010295
Aplasia/Hypoplasia of the tragus	HP:0009913
Aplasia/Hypoplasia of the triceps	HP:0009784
Aplasia/Hypoplasia of the ulna	HP:0006495
Aplasia/Hypoplasia of the uvula	HP:0010293
Aplasia/Hypoplasia of the vagina	HP:0011026
Aplasia/Hypoplasia of the vertebrae	HP:0008515
Aplasia/Hypoplasia of toe	HP:0001991
Aplasia/Hypoplastia of the eccrine sweat glands	HP:0007592
Aplasia/hypoplasia affecting bones of the axial skeleton	HP:0009122
Aplasia/hypoplasia involving bones of the extremities	HP:0045060
Aplasia/hypoplasia involving bones of the hand	HP:0005927
Aplasia/hypoplasia involving bones of the lower limbs	HP:0006493
Aplasia/hypoplasia involving bones of the upper limbs	HP:0006496
Aplasia/hypoplasia involving forearm bones	HP:0006503
Aplasia/hypoplasia involving the skeleton	HP:0009115
Aplasia/hypoplasia of the 1st metatarsal	HP:0010067
Aplasia/hypoplasia of the extremities	HP:0009815
Aplasia/hypoplasia of the femur	HP:0005613
Aplasia/hypoplasia of the humerus	HP:0006507
Aplasia/hypoplasia of the uterus	HP:0008684
Aplastic anemia	HP:0001915
Aplastic clavicle	HP:0006660
Aplastic pubic bones	HP:0008817
Aplastic/hypoplastic lacrimal glands	HP:0008038
Aplastic/hypoplastic toenail	HP:0010624
Apnea	HP:0002104
Apneic episodes in infancy	HP:0005949
Apneic episodes precipitated by illness, fatigue, stress	HP:0002872
Apocrine hidrocystoma	HP:0031454
Appendicular hypotonia	HP:0012389
Apraxia	HP:0002186
Aqueductal stenosis	HP:0002410
Arachnodactyly	HP:0001166
Arachnoid cyst	HP:0100702
Arachnoid hemangiomatosis	HP:0012222
Arcuate scotoma	HP:0030530
Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	HP:0007402
Areflexia	HP:0001284
Areflexia of lower limbs	HP:0002522
Areflexia of upper limbs	HP:0012046
Areolar fullness	HP:0032315
Argininosuccinic aciduria	HP:0025630
Argininuria	HP:0003268
Arm dystonia	HP:0031960
Arrhinencephaly	HP:0002139
Arrhythmia	HP:0011675
Arteria lusoria	HP:0031014
Arterial calcification	HP:0003207
Arterial dissection	HP:0005294
Arterial fibromuscular dysplasia	HP:0005313
Arterial intimal fibrosis	HP:0011353
Arterial occlusion	HP:0025324
Arterial rupture	HP:0025019
Arterial stenosis	HP:0100545
Arterial thrombosis	HP:0004420
Arterial tortuosity	HP:0005116
Arteriosclerosis	HP:0002634
Arteriosclerosis of small cerebral arteries	HP:0004931
Arteriovenous fistula	HP:0004947
Arteriovenous fistulas of celiac and mesenteric vessels	HP:0002642
Arteriovenous malformation	HP:0100026
Arteritis	HP:0012089
Arthralgia	HP:0002829
Arthralgia of the hip	HP:0003365
Arthritis	HP:0001369
Arthrogryposis multiplex congenita	HP:0002804
Arthrogryposis-like hand anomaly	HP:0005612
Arthropathy	HP:0003040
Ascending aorta hypoplasia	HP:0031935
Ascending aortic dissection	HP:0004933
Ascending tubular aorta aneurysm	HP:0004970
Ascites	HP:0001541
Aspartic aciduria	HP:0032401
Aspartylglucosaminuria	HP:0012068
Aspiration	HP:0002835
Aspiration pneumonia	HP:0011951
Aspirin-induced asthma	HP:0012042
Asplenia	HP:0001746
Astasia	HP:0020037
Astereognosia	HP:0010527
Asterixis	HP:0012164
Asteroid hyalosis	HP:0030672
Asthenia	HP:0025406
Asthenopia	HP:0031590
Asthma	HP:0002099
Astigmatism	HP:0000483
Astrocytoma	HP:0009592
Astrocytosis	HP:0002446
Asymmetric crying face	HP:0011333
Asymmetric growth	HP:0100555
Asymmetric septal hypertrophy	HP:0001670
Asymmetric, linear skin defects	HP:0007398
Asymmetry of intraocular pressure	HP:0012633
Asymmetry of iris pigmentation	HP:0200064
Asymmetry of spinal facet joints	HP:0008482
Asymmetry of the ears	HP:0010722
Asymmetry of the mouth	HP:0009941
Asymmetry of the thorax	HP:0001555
Asymptomatic hyperammonemia	HP:0008162
Ataxia	HP:0001251
Atelectasis	HP:0100750
Atheroeruptive xanthoma	HP:0001039
Atherosclerosis	HP:0002621
Atherosclerotic lesion	HP:0031678
Athetoid cerebral palsy	HP:0011445
Athetosis	HP:0002305
Atlantoaxial abnormality	HP:0003413
Atlantoaxial dislocation	HP:0003414
Atlantoaxial instability	HP:0003467
Atonic seizure	HP:0010819
Atopic dermatitis	HP:0001047
Atransferrinemia	HP:0012239
Atresia of the external auditory canal	HP:0000413
Atretic vas deferens	HP:0030997
Atrial arrhythmia	HP:0001692
Atrial cardiomyopathy	HP:0200127
Atrial fibrillation	HP:0005110
Atrial flutter	HP:0004749
Atrial reentry tachycardia	HP:0011699
Atrial septal defect	HP:0001631
Atrial septal dilatation	HP:0011995
Atrial situs ambiguous	HP:0011539
Atrial standstill	HP:0025478
Atrichia	HP:0500262
Atrioventricular block	HP:0001678
Atrioventricular canal defect	HP:0006695
Atrophic gastritis	HP:0002582
Atrophic muscularis propria	HP:0025149
Atrophic pituitary gland	HP:0410279
Atrophic scars	HP:0001075
Atrophic, patchy alopecia	HP:0004529
Atrophodermia vermiculata	HP:0100837
Atrophy of alveolar ridges	HP:0006308
Atrophy of the dentate nucleus	HP:0007047
Atrophy of the spinal cord	HP:0006827
Atrophy/Degeneration affecting the brainstem	HP:0007366
Atrophy/Degeneration affecting the central nervous system	HP:0007367
Atrophy/Degeneration affecting the cerebrum	HP:0007369
Atrophy/Degeneration involving the caudate nucleus	HP:0007374
Atrophy/Degeneration involving the corticospinal tracts	HP:0007372
Atrophy/Degeneration involving the spinal cord	HP:0007344
Attached earlobe	HP:0009907
Attention deficit hyperactivity disorder	HP:0007018
Attenuation of retinal blood vessels	HP:0007843
Atypical absence seizure	HP:0007270
Atypical absence status epilepticus	HP:0011151
Atypical neurofibromatosis	HP:0007524
Atypical nevi in non-sun exposed areas	HP:0001074
Atypical nevus	HP:0001062
Atypical or prolonged hepatitis	HP:0200122
Atypical pulmonary carcinoid tumor	HP:0030446
Atypical scarring of skin	HP:0000987
Auditory hallucinations	HP:0008765
Auricular pit	HP:0030025
Auricular tag	HP:0030021
Autism	HP:0000717
Autistic behavior	HP:0000729
Autoamputation	HP:0001218
Autoamputation of digits	HP:0007460
Autoamputation of foot	HP:0001868
Autoimmune antibody positivity	HP:0030057
Autoimmune hemolytic anemia	HP:0001890
Autoimmune thrombocytopenia	HP:0001973
Autoimmunity	HP:0002960
Automatic atrial tachycardia	HP:0011700
Autonomic bladder dysfunction	HP:0005341
Autonomic erectile dysfunction	HP:0008652
Autophagic vacuoles	HP:0003736
Autosomal dominant contiguous gene syndrome	HP:0001452
Autosomal dominant germline de novo mutation	HP:0025352
Autosomal dominant inheritance	HP:0000006
Autosomal dominant inheritance with maternal imprinting	HP:0012275
Autosomal dominant somatic cell mutation	HP:0001444
Autosomal recessive inheritance	HP:0000007
Avascular necrosis	HP:0010885
Avascular necrosis of the capital femoral epiphysis	HP:0005743
Axenfeld anomaly	HP:0001492
Axial dystonia	HP:0002530
Axial hypotonia	HP:0008936
Axial malrotation of the kidney	HP:0004717
Axial muscle atrophy	HP:0040287
Axial muscle stiffness	HP:0006921
Axial muscle weakness	HP:0003327
Axillary apocrine gland hypoplasia	HP:0007397
Axillary freckling	HP:0000997
Axillary pterygium	HP:0001060
Axonal degeneration	HP:0040078
Axonal degeneration/regeneration	HP:0003378
Axonal loss	HP:0003447
Axonal regeneration	HP:0003450
Azoospermia	HP:0000027
Azotemia	HP:0002157
B lymphocytopenia	HP:0010976
